Title,Author(s),Publish Year,Subjects
Mining Intelligence and Knowledge Exploration,"Rajendra Prasath, Anil Kumar Vuppala, T. Kathirvalavakumar",2013,"Data mining, Knowledge acquisition (expert systems), Knowledge management, Computer science, Artificial intelligence"
Digital Forensics and Watermarking,"Yun Qing Shi, Hyoung Joong Kim, Fernando Perez-Gonzalez, Feng Liu",2012,"Forensic sciences, Computer security, Data protection, Watermarks, Data encryption (computer science), Data structures (computer science), Information storage and retrieval systems, Computer graphics, Computer vision, Artificial intelligence, Computer networks, Computer science, Data encryption (Computer science), Coding theory, Data Encryption, Systems and Data Security, Computer Imaging, Vision, Pattern Recognition and Graphics, Computers and Society, Coding and Information Theory"
"Multimedia Communications, Services and Security",Andrzej Dziech,2011,"Computer Imaging, Vision, Pattern Recognition and Graphics, Computers, Computers and Society, Information organization, Information storage and retrieval systems, Law and legislation, Information retrieval, Computer vision, Legal Aspects of Computing, Computer science, Artificial intelligence, Artificial Intelligence (incl. Robotics), Telecommunication systems, Multimedia communications, Congresses, Multimedia systems, Security systems, Control theory"
Multimedia Services in Intelligent Environments,George A. Tsihrintzis,2010,"Engineering, Computational intelligence, Artificial intelligence, Artificial Intelligence (incl. Robotics), Multimedia systems, Interactive multimedia"
Service Orientation in Holonic and Multi-Agent Manufacturing,"Theodor Borangiu, Damien Trentesaux, André Thomas, Paulo Leitão, José Barata Oliveira",2015,"Robots, industrial, Computer integrated manufacturing systems, Production control, Artificial intelligence, Manufacturing processes, Robotics, Computer architecture"
Chinese Computational Linguistics and Natural Language Processing Based on Naturally Annotated Big Data,Maosong Sun,2013,"Chinese language, data processing, Natural language processing (computer science), Computational linguistics, Artificial Intelligence (incl. Robotics), Computer science, Translators (Computer programs), Text processing (Computer science), Information systems, Artificial intelligence, Language Translation and Linguistics, Document Preparation and Text Processing, Information Systems and Communication Service"
Advanced data mining and applications,Xue Li,2003,"Computer algorithms, Congresses, Cluster analysis, Data mining, Information storage and retrieval systems, Artificial intelligence, Software engineering, Database management"
Machines Like Me,Ian McEwan,2019,"science fiction & fantasy, fiction, historical fiction, triangles, interpersonal relations, artificial intelligence, alternative history, Falklands War, androids, love triangles, Fiction, alternative history, London (england), fiction, Fiction, psychological, British and irish fiction (fictional works by one author), nyt:hardcover-fiction=2019-05-12, New York Times bestseller, New York Times reviewed, Robots, Fiction, Artificial intelligence, Man-woman relationships, Triangles (Interpersonal relations), History, Androids"
"Text, speech, and dialogue",Petr Sojka,1999,"Natural language processing (Computer science), Congresses, Speech processing systems, Text processing (computer science), Computational linguistics, Artificial intelligence"
Illuminae,"Amie Kaufman, Jay Kristoff",2014,"Children's fiction, Science fiction, Space flight, fiction, Plague, fiction, Juvenile fiction, Plague, Interplanetary voyages, Artificial intelligence, Fiction, nyt:young-adult-hardcover=2015-11-08, New York Times bestseller"
Superintelligence,Nick Bostrom,2014,"Moral and ethical aspects, Cognitive science, Artificial intelligence, Social aspects, Philosophy, Computers and civilization, Intelligence artificielle, Philosophie, Aspect social, Aspect moral, Sciences cognitives, COMPUTERS, General, Société de l'information, Artificiell intelligens, Computers and IT"
Berserker,Fred Saberhagen,1967,"Robots, Space warfare, Fiction, Large type books, Weapons, Artificial intelligence, Assassins, Revenge, American Science fiction, Fiction, westerns, Fiction, science fiction, hard science fiction, Fiction, men's adventure"
Learning to program with Alice,"Wanda Dann, Wanda P Dann, Stephen Cooper, Randy Pausch, Wanda P. Dann",2004,"Alice (Computer program language), Alice (Electronic resource : Carnegie-Mellon University. Stage3 Research Group), Computer animation, Computer programs, Computer-assisted instruction, Object-oriented programming (Computer science), Study and teaching (Middle school), Three-dimensional display systems, C & Visual C, Java & variants, Computers / Programming Languages / C++, Programming Languages - C++, Computers, Computer Bks - Languages / Programming, Computers - Languages / Programming, Computer animation, Object-oriented programming (Computer science), Three-dimensional display systems, Computer Books: Languages, Artificial intelligence, Object-oriented programming (computer science), Literary collections"
Neural Information Processing,"Chu Kiong Loo, Yap Keem Siah, Kok Wai Wong, Andrew Teoh Beng Jin, Kaizhu Huang",2014,"Neural networks (computer science), Artificial Intelligence (incl. Robotics), Pattern perception, Computer science, Data mining, Artificial intelligence, Computer vision, Optical pattern recognition, Image Processing and Computer Vision, Computation by Abstract Devices, Data Mining and Knowledge Discovery"
Comtex,Comtex,1986,Artificial intelligence
The Fourth R,George Oliver Smith,1959,"Artificial intelligence, Fiction, Fiction, science fiction, general, Fiction, thrillers, suspense, Scientists, fiction, American Science fiction"
The Fifth Generation,"Edward A. Feigenbaum, Pamela McCorduck",1983,"Computer industry, Electronic digital computers, Industria de computadoras, Japan, Expertensystem, Internationale economie, Etats-Unis, Révolution informatique, Japon, conditions économiques, Industrie, Japon, Informatique, Prospective, Ordinateur 5E génération, Datentechnik, Kunstmatige intelligentie, Computer, Computerindustrie, Système expert, Intelligence artificielle, Computers, Technology, Artificial intelligence"
"Software Engineering, Artificial Intelligence, Networking and Parallel/Distributed Computing",Roger Lee,2014,"Software engineering, Artificial intelligence"
"Computer Vision, Imaging and Computer Graphics - Theory and Applications","Sebastiano Battiato, Sabine Coquillart, Julien Pettré, Robert S. Laramee, Andreas Kerren, José Braz",2014,"Artificial intelligence, User interfaces (computer systems), Computer graphics, Computer vision, Imaging systems, Computer science, Computer Science, general, Image Processing and Computer Vision, Congresses"
Advanced Concepts for Intelligent Vision Systems,"Sebastiano Battiato, Jacques Blanc-Talon, Giovanni Gallo, Wilfried Philips, Dan Popescu, Paul Scheunders",2012,"Computer vision, Image processing, Optical pattern recognition, Artificial intelligence, Pattern recognition systems"
Computer Games,"Tristan Cazenave, Mark H.M. Winands, Hiroyuki Iida",2014,"Computer games, Artificial intelligence, Artificial Intelligence (incl. Robotics), Computer science, Computer Communication Networks, Computer software, Computational complexity, Algorithm Analysis and Problem Complexity, Computation by Abstract Devices, Discrete Mathematics in Computer Science, Mathematical Logic and Formal Languages"
Smart Health,"Hsinchun Chen, Daniel Zeng, Xiangbin Yan, Chunxiao Xing",2013,"Medical informatics, Medicine, data processing, Artificial intelligence, Congresses, Medicine, Data processing, Medical applications, Information retrieval, Information organization, Information Systems Applications (incl. Internet), Database management, Computer science, Medical records, Data mining, Information storage and retrieval systems, Data Mining and Knowledge Discovery"
Smart Intelligent Computing and Applications,"Suresh Chandra Satapathy, Vikrant Bhateja, J. R. Mohanty, Siba K. Udgata",2018,"Telecommunication, Data mining, Artificial intelligence"
Data Science,"Rui Mao, Hongzhi Wang, Xiaolan Xie, Zeguang Lu",2017,"Information science, Data mining, Computers, Information retrieval, Artificial intelligence"
Complex-Valued Neural Networks,Akira Hirose,2007,"Engineering, Computational intelligence, Artificial intelligence, Artificial Intelligence (incl. Robotics), Neural networks (computer science), Numbers, complex, Complex Numbers, Neural networks (Computer science)"
New Frontiers in Artificial Intelligence,"Kazuhiro Kojima, Maki Sakamoto, Koji Mineshima, Ken Satoh",2007,Artificial intelligence
Evolutionary computation,David B. Fogel,1995,"Evolutionary computation, Computer simulation, Artificial intelligence, Signal processing, Engineering, Nonfiction, Technology, Evolutionary programming (Computer science), Simulation par ordinateur, Intelligence artificielle, Réseaux neuronaux à structure évolutive, Kunstmatige intelligentie, Evolutie, Genetische algoritmen, Evolutionärer Algorithmus, Künstliche Intelligenz, Algorithmes génétiques, Genetischer Algorithmus, Programmeren (computers), Stochastische programmering, Algoritmen, Programmation évolutionnaire, Aufsatzsammlung, Computers &amp; the internet, Computer engineering"
"Software Engineering, Artificial Intelligence, Networking and Parallel/Distributed Computing",Roger Y. Lee,2010,"Software engineering, Engineering, Artificial Intelligence (incl. Robotics), Artificial intelligence, Computational intelligence, Parallel processing (electronic computers), Computer networks, Electronic data processing, distributed processing"
Intelligent Computing & Optimization,"Pandian Vasant, Ivan Zelinka, Gerhard Wilhelm Weber",2018,"Artificial intelligence, Computer networks, security measures"
Surface Detail,Iain M. Banks,2010,"Fiction, Science fiction, Life on other planets, Revenge, Artificial intelligence, Fiction, science fiction, general, [series:IMB_The_Culture]"
The Turing option,Harry Harrison,1992,"Science fiction, Artificial intelligence, Fiction, Fiction, science fiction, general, Classic SF, New York Times reviewed"
Computers As Cognitive Tools,Susanne P. Lajoie,2000,"Computer-assisted instruction, Artificial intelligence, Education, united states"
